,level_0,text,sentiment
0,0,charlene my love i miss you,sadness
1,1,the storm is here and the electricity is gone,sadness
2,2,so tired and i think im definitely going to get an ear infection  going to bed early for once,sadness
3,3,on my way home n having  deal w underage girls drinking gin on da bus while talking bout keggers i feel old,worry
4,4,im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd,sadness
5,5,fudge just bsd that whole paper so tired ugh i hate school  time to sleep,sadness
6,6,i hate cancer i hate it i hate it i hate it,angry
7,7,screw you  i only have  weeks,angry
8,8,in all honesty pain,sadness
9,9,ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry,sadness
10,10,i cant give any bday nudges,neutral
11,11,and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as him,worry
12,12,i miss voobys,neutral
13,13,monk neither are elp,neutral
14,14,sure you will tweet about this when youre back but news is abuzz about tr knights leaving confirmed today  muy triste,worry
15,15,i cant sleepi keep thinking about the puppy i played with today,worry
16,16,whats going on sweetheart,neutral
17,17,work at am gotta go to bed soon,neutral
18,18,i wanted to come to bz this summer  not so sure anymore a teachers life in the summer sucks,sadness
19,19,im feel deflated ugh no more dog,neutral
20,20,well it almost was a good day guess i just retry tomorrow,neutral
21,21,wonders why her karma points turned into,sadness
22,22,sigh im going to bed i just dont feel right anymore,sadness
23,23,i know but like i said i have no idea how long it takes for them to investigate this stuff,neutral
24,24,my head hurts so bad i could scream,worry
25,25,new work wellness challenge not going well  i committed to not check email between  pm and  am  failed on first day  twice,worry
26,26,new blog post blog auto insuran i just found that my auto insurance policy had been expired  i am too careless    meanw,worry
27,27,is still missing her husband    i really want him home,sadness
28,28,i dont think so  i want details,neutral
29,29,hi who is mary poppins,neutral
30,30,spent last night in ae er wife tangled wheels with daughterhit the deck dislocationfracture resulted,worry
31,31,daaammmnnnnn i do wish i was there,sadness
32,32,hime i played up until the latter parts of the voodoo village part coop until i lost my usual partner,sadness
33,33,guess its a no go girlie im still at the gym and work at am,neutral
34,34,still a pity it comes with no lamb though,sadness
35,35,airport and you didnt show up tonight,neutral
36,36,what about me,neutral
37,37,had to cancel wow for now,sadness
38,38,wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio,worry
39,39,but yeahim sad about my ravenclaw account i love that account to bits,sadness
40,40,its  am and i hear a helicopter flying over my house thats kind of weird in other news my headache is back booooo,worry
41,41,oh no  i am always here,worry
42,42,back from school ms suhanas last day as our ft  ocu was okay im playing altnoy over and over again,neutral
43,43,yeah its terrible  cockatoos are the hardest to live with so emotional good thing he found you though,neutral
44,44,i think the vog is making me sicker than i think feeling slightly achy,worry
45,45,i am doing homework it sux big time maths is the worst,worry
46,46,i feel the same way but i guess no matter where you are there will always be memes,sadness
47,47,with friends like vaikonedumaran ltte didnt need enemies wrong advice at wrong time led to numerous deathsa lost cause as well,neutral
48,48,work day  of,worry
49,49,no refunds but they do retrieve accounts takes like a week just hoping the thief doesnt use hacks or then its permaban,worry
50,50,twittascope is not rocking my socks  go away already,neutral
51,51,its pissing me off and not letting me follow ericka,sadness
52,52,i was so close to the tacosone spot too late,neutral
53,53,i have to admit im a bit bummed out that i wasnt with my friends walking today,worry
54,54,yea     i gotta be up at,neutral
55,55,youre diabetic   so is my dadi might be too not sure  are you still allowed to eat sugar throughout the day,neutral
56,56,omg i keep losing followers this is so sad  i want  one daythats my goal d,sadness
57,57,im contacting paws philippines so i can find tiger a new owner im so sad i love my dog soo much,sadness
58,58,fuuudge movie store is closed,sadness
59,59,english class working on interactive orals,happiness
60,60,i dont know how ima work out tomorrow wit my body dis sore  ugh,worry
61,61,in   wo you,neutral
62,62,found my book starting a real paperbound journal tonight have an annoying zit above my lip makes me look like i have herpes,sadness
63,63,jodie um i was thrown from s van yesterday and had to be taken to the er,sadness
64,64,fb is boring   and i wanna sing right now,happiness
65,65,the link doesnt work,sadness
66,66,what come as you are but erock just left  bah d,neutral
67,67,oh  i completely forgot about thirsty thursday oh my gaga this sucks,sadness
68,68,if one people did any wrong the world blames all the people over there this is the great world which we are living in,sadness
69,69,i bet its cool down in sr huh its not here i havent stopped sweating since noon when dad and i were packing,neutral
70,70,missed iron chef,sadness
71,71,guess im staying home tonightno movieing for me,worry
72,72,i miss my mom  may angels lead you in,sadness
73,73,i feel the same way every day,sadness
74,74,lakers baby lakers ill miss the game tmwr i have to work  youll have to keep me posted please,sadness
75,75,if i told you how often i wash my hair you would never speak to me again,worry
76,76,ofthedead i met a stranger just  min ago he was stalking me at the store,worry
77,77,iiii know and mean,neutral
78,78,having fever  dont feel to work,sadness
79,79,did you guys keep a set list i forgot to ask for one,neutral
80,80,cheryl lucky now i want to teleport,neutral
81,81,my little foster kittens are getting bigchubba and winston are going  b missed when they get amazing homes,happiness
82,82,know what would be great for my shoulder to stop hurting so i can sleep normal again  i just wantneed a few solid hours of good sleep,worry
83,83,i dont have any of that,neutral
84,84,gutted that the bathroom still isnt free early work isnt going to happen   and i need the loo,sadness
85,85,july too long,neutral
86,86,wearing glasses gives me a headache,neutral
87,87,thirsty and lonely  you buggers are making me feel like a scotty no mates,worry
88,88,getting ready for school  second maths test today  also its my last day of rd year next week i will officially be in th year,happiness
89,89,friday yay and a bonus dont have to drive to wales tonight  athough will miss kitten cuddles and going for a ride,happiness
90,90,why do you hate me,sadness
91,91,wanted to visit the animals but we were too late,sadness
92,92,finished a whole box of ice cream,sadness
93,93,someone make me a cofffeeeeeee,neutral
94,94,plus i just deposited tax return cheque but for first time in  years it didnt clear immediately,worry
95,95,dont think i can take a needle watched a horribly gory short film on drugs a few months ago im scarred for life,worry
96,96,thinking about getting up for work,worry
97,97,noooo he goes for orlando omg  im gonna cry,sadness
98,98,ohh ic ic haha iyaa my summer is filled with one course that lasts for the whole summer,neutral
99,99,unfortunately not,neutral
100,100,ups ketauan cabut nih gimana dong,neutral
101,101,i kinda wish i went with you now i cant fall asleep,sadness
102,102,at rocky cola diner in whittier tonight with teacher pal mr b we had a great time chatting but no one else came,worry
103,103,not yet sorry,sadness
104,104,i thought i was your best friend,worry
105,105,fall asleep on me again  but i know how it feels now lol drag me to hell tonight quite excited,sadness
106,106,tummy ache,sadness
107,107,is taking a moment to reflecti want my annonymity backfb  is it safe to say anything about someone else to another friend again,worry
108,108,more followers follow me and ill love you pouts please,neutral
109,109,aww me too  annoying,worry
110,110,just one of those days where loneliness creeps up on you slaps you in the face,sadness
111,111,i think im being ignoredby my best friend jakea i hate being ignored b we all know how things go with him,worry
112,112,nd to last episode of jay leno  itll never be the same  nite twitter,neutral
113,113,taking a nap after workno sleep right now the nap felt soooo good but now it seems like a bad idea,worry
114,114,is going home ive seriously had enough,worry
115,115,playing the game of watching straight people hook up but cant leave because of another reason,neutral
116,116,feels like im going to cough up a lung,worry
117,117,i dont think it was either but i cant remember it,neutral
118,118,wishes you had teased me with movie night,sadness
119,119,i lost  followers over night nobody likes me,worry
120,120,dont know why so tired today  bye time for beddy,neutral
121,121,oh yeah im the poorest person of all but i shouldnt joke about that poor other people,worry
122,122,i just realized i spelled adorable wrong when i tweeted  she must hate me now,sadness
123,123,who are the crew please dont be me  i dont think it is but i could be wrong i have been a number of times,worry
124,124,how to have a glowing face my complexion is always so pale,sadness
125,125,oh no my tweetdeck is malfunctioning o il have web will its fixd,sadness
126,126,adam samberg  new moon trailor  good evening too bad my cable is off as of friday,sadness
127,127,dell fx pcoverip audio device teradici is giving me a hard time in   jaunty  kernel isnt loading the sndhdaintel drv,worry
128,128,on my nd written  i get less ideas every day and every day,sadness
129,129,all my pancakes always end up soggy,worry
130,130,why do none of my thoughts make sense when im sober,worry
131,131,nursing bruises from motorbike crash on wednesday night leaving london workplace the ground is so much harder the older you get,worry
132,132,feels like  whenever she lays down  i hate heartburnbackaches,sadness
133,133,my sisser is moving tomorrow and of makes me sad  actually i guess technically in a couple of hours since its already friday,sadness
134,134,ever seen the tv show dead like me i died and became a grim reaper taking peoples souls after accidents,worry
135,135,my throat hurts  gonna go read and go to bed text mee,sadness
136,136,fjdskal im really frustrated,sadness
137,137,will miss nostalgia  everyone please kick tushar,neutral
138,138,farewelling an employee tonight,sadness
139,139,gorgeous weather but no bike,worry
140,140,girls are confusing,sadness
141,141,lyricallyme   why would you do that to me,sadness
142,142,i have drunk hickups i had a pretty laid back great night but i still cant help but be mad about the situation i put myself in,worry
143,143,needs a little lie down not feeling great today boo,worry
144,144,have decided i just cant stand s alltop spam any longer,sadness
145,145,i miss rich,sadness
146,146,i just got mad tired so no   sleepytime night,worry
147,147,home from ice cream tweetup my very first tweetup no pics because my camera battery died last night and i forgot to charge it,sadness
148,148,ok thats subtly saying im no longer a fave  temme  thing  did the firangs steal your vocab ur eating words and how,neutral
149,149,star oh so you know how i feel then   representative for bank of america tried to make it sound like i did it what a b,worry
150,150,home from school had the shitest day today,sadness
151,151,fyi no internets until thurstag after saturday  i have a feeling i will become x more productive during those days,neutral
152,152,i want to but im not over  and tc says over s only  wanna make an exception for me,worry
153,153,my public talk in july got canceled and i dont know why,worry
154,154,whered the songs go on the site i want do you on this computer too,worry
155,155,my name is tony not hey   poor tony,worry
156,156,suuure,happiness
157,157,honza takes his flight back to the czech republic in the morning  im really going to miss him,sadness
158,158,online thats the sad thing about it,worry
159,159,babes it was sooo much fun  thank you so much for making that happen  had fun with the ladies too  time went to fast,happiness
160,160,watching two of my patients die tonight has put me in a funk one was young,worry
161,161,guys why did paranoid drop out of the countdown thats so not fair  iv voted heaps for it,worry
162,162,have to wear my glasses today cos my right eye is swollen and i dont know why,worry
163,163,happy to b home  then my mind wanders an i cant sleep,worry
164,164,had a awesome time  gotmeet brandon rhyder unfortunatly i cant sleep n tomorrow  back  the ole job  got my game face on,sadness
165,165,orw nooooooo i want to go back to newcastle,sadness
166,166,no fair,neutral
167,167,wow im really reallly ill,worry
